Genero;Idade;Peso;Altura;Religiao;Esporte;Sono;Municipio
Masculino;21;74;175;Nenhuma;Futebol;8;SCS
Feminino;21;58;;Espirita;Atividade fisica;6;SA
Masculino;21;70;172;Catolico;Futebol;5;SBC
Masculino;;65;168;Catolico;Futebol;6;SA
Masculino;23;108;191;Nenhuma;Nenhuma;7;SBC
Masculino;19;;168;Cristao;Atividade fisica;8;SP
Masculino;21;;179;Catolico;Tenis;7;SA
Masculino;22;75;175;Nenhuma;Bicicleta;7;SP
Masculino;23;77;174;Cristao;Surfe;9;SP
Masculino;;81;179;Catolico;Atividade fisica;6;SP
Feminino;20;57;160;Nenhuma;Nenhuma;6;SP
Masculino;19;71;;Protestante;Futebol;9;SBC
Masculino;21;99;188;Catolico;Caminhada;7;SP
Masculino;22;;180;Catolico;Natacao;9;SA
Masculino;20;70;177;Espirita;Atividade fisica;8;SP
Feminino;21;60;163;Catolico;Musculacao;7;SA
Masculino;24;79;188;Nenhuma;Futebol;8;SP
Masculino;;74;180;Catolico;Boxe;7;SP
Masculino;;75;179;Protestante;Corrida;8;SBC
Masculino;;78;176;Espirita;Futebol;7;SBC
Masculino;20;73;175;Catolico;Futebol;7;SP
Feminino;22;61;165;Catolico;Atividade fisica;9;SBC
Masculino;20;75;183;Catolico;Atividade fisica;7;SP
Masculino;21;75;170;Catolico;Futebol;7;SP
Masculino;20;70;;Cristao;Tenis;7;SA
Masculino;22;85;178;Catolico;Atividade fisica;5;SP
Feminino;21;56;166;Espirita;Atividade fisica;8;SP
Masculino;19;68;165;Cristao;Corrida;8;SA
Masculino;20;64;175;Protestante;Nenhuma;6;SP
Feminino;21;;167;Nenhuma;Nenhuma;8;SP
Masculino;26;75;180;Catolico;Nenhuma;7;SP
Masculino;20;83;181;Catolico;Futebol;7;SA
Masculino;24;80;181;Catolico;Atividade fisica;9;SCS
Masculino;23;67;168;Nenhuma;Natacao;5;SP
Masculino;22;75;175;Catolico;Futebol;9;SP
Feminino;21;55;156;Catolico;Futebol;7;SA
Masculino;25;92;189;Cristao;Futebol;7;SCS
Masculino;;112;198;Catolico;Nenhuma;5;SA
Feminino;19;56;;Protestante;Nenhuma;6;SBC
Masculino;21;86;;Catolico;Futebol;8;SP
Masculino;21;72;173;Espirita;Atividade fisica;7;SBC
Masculino;21;76;175;Protestante;Futebol;7;SBC
Masculino;25;;178;Catolico;Futebol;7;SP
Masculino;20;81;178;Espirita;Futebol;6;SA
Masculino;23;69;;Espirita;Futebol;6;SP
Feminino;20;63;;Protestante;Atividade fisica;9;SCS
Masculino;21;73;175;Catolico;Surfe;9;SA
Feminino;;60;163;Espirita;Futebol;8;SP
Masculino;;75;180;Cristao;Natacao;7;SP
Feminino;20;67;172;Espirita;Corrida;8;SA
Masculino;22;75;170;Espirita;Musculacao;9;SP
Feminino;25;63;158;Protestante;Yoga;7;SCS
Masculino;20;;174;Catolico;Corrida;7;SP
Masculino;23;77;168;Espirita;Nenhuma;5;SP
Masculino;20;;180;Nenhuma;Futebol;8;SA
