"Est.civil";"Instrucao";"Idade";"Filhos";"Salario";"Bonus"
"Solteiro";"Fundamental";26;2;4;FALSE
"Casado";"Fundamental";32;1;4,56;FALSE
"Casado";"Fundamental";36;2;5,25;FALSE
"Solteiro";"Medio";20;2;5,73;FALSE
"Solteiro";"Fundamental";40;1;0;FALSE
"Casado";"Fundamental";28;0;6,66;FALSE
"Solteiro";"Fundamental";41;0;6,86;TRUE
"Solteiro";"Fundamental";43;1;7,39;TRUE
"Solteiro";"Medio";23;2;7,44;FALSE
"Casado";"Medio";33;2;8,12;FALSE
"Solteiro";"Fundamental";27;3;0;FALSE
"Solteiro";"Medio";37;0;0;FALSE
"Casado";"Fundamental";44;3;8,95;TRUE
"Casado";"Medio";30;0;9,13;FALSE
"Solteiro";"Medio";38;2;9,35;FALSE
"Casado";"Fundamental";39;2;9,8;FALSE
"Solteiro";"Superior";25;1;10,53;FALSE
"Solteiro";"Medio";37;1;0;FALSE
"Casado";"Medio";30;1;11,06;FALSE
"Solteiro";"Medio";34;2;11,59;FALSE
"Solteiro";"Fundamental";41;0;12;TRUE
"Casado";"Superior";26;0;0;FALSE
"Casado";"Medio";35;2;13,6;FALSE
"Solteiro";"Fundamental";46;0;0;TRUE
"Casado";"Medio";29;0;14,69;FALSE
"Casado";"Medio";40;5;0;FALSE
"Casado";"Medio";35;2;15,99;FALSE
"Casado";"Superior";43;3;17,26;TRUE
"Casado";"Medio";48;2;19,4;TRUE
"Casado";"Superior";42;3;23,3;TRUE
